60,PIB,2025-11-25,PDUNASS hosted the 23rd session of Reimagining Governance: Discourse for Excellence.
61,PIB,2025-11-25,CSIR-NIScPR and CSIR-NPL jointly organized a curtain raiser for India International Science Festival 2025.
62,PIB,2025-11-25,The Union Health Minister stated that the World Cup-winning blind women cricketers are an inspiration for the nation.
63,PIB,2025-11-24,The Prime Minister shared glimpses of the Shri Ram Janmabhoomi Mandir Dhwajarohan Utsav in Ayodhya.
64,PIB,2025-11-24,The film ‘Bindusagar’ reflected the full circle of life at the 56th International Film Festival of India.
65,PIB,2025-11-23,National Milk Day 2025 celebrations were announced to take place in New Delhi.
66,PIB,2025-11-23,IFFI, WAVES Film Bazaar, and LTIMindtree launched India’s first AI Film Festival.
67,PIB,2025-11-23,The Finance Minister chaired a review meeting with Regional Directorates and Registrar of Companies.
68,PIB,2025-11-22,The Lok Sabha Speaker said connecting youth with democracy is the need of the hour.
69,PIB,2025-11-22,The film ‘Vanya’ was showcased highlighting a story of love beyond words.
70,PIB,2025-11-22,The Secretary of DFS chaired a review meeting on pending IBC cases at NCLT.
71,PIB,2025-11-21,The Cinema AI Hackathon 2025 recognized excellence in AI-driven filmmaking at the 56th IFFI.
72,PIB,2025-11-21,Chris Corbould discussed his SFX craft behind Bond and Batman films at IFFI.
73,PIB,2025-11-20,Creative Minds of Tomorrow 2025 concluded showcasing India’s young creators.
74,PIB,2025-11-20,The Union Minister Kiren Rijiju announced the return of Sacred Buddha Relics to India after exposition in Bhutan.
75,PIB,2025-11-20,A collaborative publication titled ‘Rangoli: Roop, Sur, Lay ki – Bhartiya Cinema ke Vihangam Shikhar Vyaktitva’ was launched by DPD and FTII Pune.
